Date,AAPL,MSFT,YHOO,NFLX,BMW,F,FB,GOOG,GM,GE,LULU,C,JPM
27/03/2014,76.78,39.36,35.59,52.026,91.05,15.25,60.97,556.931,34.51,25.81,51.2,47.45,59.92
28/03/2014,76.6943,40.3,35.9,51.267,92.02,15.45,60.01,558.456,34.73,25.88,51.89,47.25,60.04
29/03/2014,76.6943,40.3,35.9,51.267,92.02,15.45,60.01,558.456,34.73,25.88,51.89,47.25,60.04
30/03/2014,76.6943,40.3,35.9,51.267,92.02,15.45,60.01,558.456,34.73,25.88,51.89,47.25,60.04
31/03/2014,76.6771,40.99,35.9,50.29,91.49,15.6,60.24,555.445,34.42,25.89,52.59,47.6,60.71
01/04/2014,77.3786,41.42,36.49,52.099,92.25,16.32,62.62,565.607,34.34,25.87,52.98,47.8,60.67
02/04/2014,77.5071,41.35,36.64,51.84,92.74,16.46,62.72,565.447,34.88,26.04,54.41,48.24,60.48
03/04/2014,76.97,41.01,35.76,50.67,92.87,16.39,59.49,568.18,35.44,26.23,54.14,47.68,60.66
04/04/2014,75.9743,39.87,34.26,48.187,93.15,16.13,56.749,541.653,34.81,26.02,54.18,47.11,59.81
05/04/2014,75.9743,39.87,34.26,48.187,93.15,16.13,56.749,541.653,34.81,26.02,54.18,47.11,59.81
06/04/2014,75.9743,39.87,34.26,48.187,93.15,16.13,56.749,541.653,34.81,26.02,54.18,47.11,59.81
07/04/2014,74.7814,39.82,33.07,48.286,91.37,15.94,56.95,536.676,34.11,25.85,52.62,46.55,59
08/04/2014,74.7771,39.82,33.83,49.841,91.2,16.1,58.19,553.38,34.53,25.75,53.16,46.6,58.85
09/04/2014,75.76,40.47,34.87,50.433,91.49,15.84,62.41,562.595,33.62,25.95,54.56,47.16,59.27
10/04/2014,74.7829,39.36,33.4,47.819,89.48,15.63,59.16,539.469,33.3,25.58,52.57,46.23,57.4
11/04/2014,74.23,39.19,32.8684,46.673,89.69,15.63,58.53,529.147,31.93,25.43,52.08,45.68,55.3
12/04/2014,74.23,39.19,32.8684,46.673,89.69,15.63,58.53,529.147,31.93,25.43,52.08,45.68,55.3
13/04/2014,74.23,39.19,32.8684,46.673,89.69,15.63,58.53,529.147,31.93,25.43,52.08,45.68,55.3
14/04/2014,74.5257,39.18,33.445,47.369,90.08,15.7,58.89,531.062,32.55,25.71,52.39,47.67,54.96
15/04/2014,73.9943,39.75,34.21,46.61,88.42,15.84,59.09,534.971,33.36,25.82,52.51,48.31,54.8
16/04/2014,74.1443,40.4,36.35,47.344,90.39,16.07,59.72,555.016,33.97,26.12,52.71,48.18,55.26
17/04/2014,74.9914,40.01,36.38,49.391,92.52,16,58.94,534.632,33.98,26.56,51.71,48.22,55.22
18/04/2014,74.9914,40.01,36.38,49.391,92.52,16,58.94,534.632,33.98,26.56,51.71,48.22,55.22
19/04/2014,74.9914,40.01,36.38,49.391,92.52,16,58.94,534.632,33.98,26.56,51.71,48.22,55.22
20/04/2014,74.9914,40.01,36.38,49.391,92.52,16,58.94,534.632,33.98,26.56,51.71,48.22,55.22
21/04/2014,75.8814,39.94,36.4,49.784,92.52,15.98,61.24,527.172,33.98,26.59,49.07,47.84,55.03
22/04/2014,75.957,39.99,36.14,53.271,93.95,16.1,63.03,533.345,34.23,26.58,48.27,48.02,55.81
23/04/2014,74.9643,39.69,35.44,50.5,92.7,16.23,61.36,525.497,34.39,26.42,47.51,48.4,56.05
24/04/2014,81.11,39.86,35.24,49.153,91.06,16.32,60.87,523.722,34.17,26.46,47.1,48.33,56.19
25/04/2014,81.7057,39.91,34.48,46.011,89.48,15.78,57.71,514.766,33.72,26.6,45.5,47.75,55.7
26/04/2014,81.7057,39.91,34.48,46.011,89.48,15.78,57.71,514.766,33.72,26.6,45.5,47.75,55.7
27/04/2014,81.7057,39.91,34.48,46.011,89.48,15.78,57.71,514.766,33.72,26.6,45.5,47.75,55.7
28/04/2014,84.87,40.87,33.99,44.887,89.96,15.97,56.14,515.734,33.76,26.78,45.23,47.3,55.49
29/04/2014,84.6186,40.51,35.83,45.696,90.4,16.12,58.15,526.255,33.99,26.76,45.58,48.16,56.1
30/04/2014,84.2986,40.4,35.95,46.006,90.31,16.15,59.78,525.218,34.48,26.89,45.93,47.91,55.98
01/05/2014,84.4971,40,36.51,48.074,90.31,15.91,61.15,529.895,34.9,26.77,44.99,47.76,55.72
02/05/2014,84.6543,39.69,36.87,48.664,89.1,15.9,60.46,526.484,34.97,26.68,45.45,47.73,55.58
03/05/2014,84.6543,39.69,36.87,48.664,89.1,15.9,60.46,526.484,34.97,26.68,45.45,47.73,55.58
04/05/2014,84.6543,39.69,36.87,48.664,89.1,15.9,60.46,526.484,34.97,26.68,45.45,47.73,55.58
05/05/2014,85.8514,39.43,36.91,49.197,88.87,15.74,61.22,526.365,34.75,26.58,45.57,47.18,54.22
06/05/2014,84.9157,39.06,36.49,46.599,88.09,15.56,58.53,513.729,34.75,26.19,44.6,46.36,53.34
07/05/2014,84.6186,39.4,34.07,45.791,88.63,15.46,57.39,508.563,35.07,26.53,43.7,46.7,54.05
08/05/2014,83.9986,39.64,33.92,45.951,88.11,15.81,56.76,509.601,34.85,26.44,43.21,47.14,54.36
09/05/2014,83.6489,39.54,33.76,46.936,88.46,15.77,57.24,517.309,34.23,26.42,43.77,46.99,54.01
10/05/2014,83.6489,39.54,33.76,46.936,88.46,15.77,57.24,517.309,34.23,26.42,43.77,46.99,54.01
11/05/2014,83.6489,39.54,33.76,46.936,88.46,15.77,57.24,517.309,34.23,26.42,43.77,46.99,54.01
12/05/2014,84.69,39.97,34.45,49.35,89.01,15.84,59.83,528.469,34.82,26.85,44.77,47.27,54.65
13/05/2014,84.8229,40.42,34.4,49.591,89.52,15.86,59.83,531.63,35.15,26.92,45.38,47.42,54.62
14/05/2014,84.8386,40.24,34.17,50.269,89.41,15.75,59.23,525.208,34.94,26.76,45.2,47.12,54.36
15/05/2014,84.1171,39.6,33.8,49.17,88.54,15.69,57.919,518.556,34.36,26.6,44.67,46.52,53.51
