# This file contains the road structure
# on a small island. Towns are
# at nodes 0-13. Each road segment is
# notated as:
# town town distance
0 1 0.200000
0 2 0.223607
0 3 0.500000
0 4 0.282843
0 5 0.500000
0 6 0.316228
0 7 0.565685
0 8 0.900000
0 9 0.583095
0 10 0.500000
1 2 0.100000
1 3 0.360555
1 4 0.447214
1 5 0.538516
1 6 0.424264
1 7 0.447214
1 9 0.509902
1 10 0.538516
2 3 0.282843
2 4 0.412311
2 5 0.632456
2 6 0.500000
2 7 0.538516
2 9 0.608276
2 10 0.447214
2 11 0.806226
2 12 0.860233
3 4 0.608276
3 5 0.894427
3 6 0.781025
3 7 0.700000
3 9 0.806226
3 10 0.447214
3 11 0.608276
3 12 0.583095
4 5 0.728011
4 6 0.509902
4 7 0.848528
4 8 0.728011
4 9 0.860233
4 10 0.360555
4 11 0.860233
5 6 0.223607
5 7 0.412311
5 9 0.300000
5 13 0.707107
6 7 0.509902
6 8 0.854400
6 9 0.447214
6 10 0.806226
6 13 0.670820
7 9 0.141421
8 13 0.632456
10 11 0.500000
10 12 0.761577
11 12 0.412311
