calorific_value,nitrogen,turbidity,alcohol,sugars,bitterness,colour,degree_of_fermentation,style
41.72123894,0.503275756,2.6281818180000003,4.015384615,16.73,10.45278947,13.44,55.33714286,ale
42.42920354,0.52551218,1.776363636,4.0923076919999986,16.72,10.99952632,12.24,58.38,ale
45.88053097,0.443232788,2.6281818180000003,4.276923077,16.68,13.45636842,10.92,58.38285714,ale
45.30530973,0.471667792,1.806363636,4.126153846,18.84,9.202736842,10.92,58.52571429,ale
38.97787611,0.392845762,2.272727273,4.015384615,16.77,9.457894737,10.56,58.9,ale
41.1460177,0.396443611,0.885454545,4.021538462,16.5,13.02610526,14.16,59.41428571,ale
45.39380531,0.466171648,1.980909091,4.563076923000001,16.64,11.44852632,12.96,60.01857143,ale
38.2699115,0.472478164,2.099090909,4.313846154,16.68,12.32826316,12.48,60.35571429,ale
43.53539823,0.435870902,1.3427272730000002,4.061538462,16.78,10.81915789,12.6,60.46571429,ale
37.29646018,0.367897245,2.104545455,4.326153846,16.63,13.30068421,13.08,61.84571429,ale
42.29646018,0.250667315,1.019090909,3.806153846,15.94,2.924894737,12.6,37.03428571,lager
44.86283186,0.185199475,2.102727273,4.009230769,15.9,6.608789474,14.28,46.39857143,lager
40.88053097,0.264555015,1.06,3.716923077,17.08,7.411210526,15.24,47.32857143,lager
40.52654867,0.237383712,1.767272727,4.033846154,16.01,13.27905263,13.44,48.32857143,lager
41.27876106,0.31818079,1.366363636,3.756923077,16.19,8.915368421,15.36,50.07857143,lager
42.5619469,0.238442508,0.774545455,3.526153846,18.74,8.155894737,9.0,51.59714286,lager
41.58849558,0.211766681,1.4618181819999998,3.5876923080000003,16.88,5.340684211,14.76,52.15428571,lager
39.24336283,0.156837113,0.689090909,3.636923077,16.72,6.820842105,11.28,53.18857143,lager
45.0840708,0.298799689,1.331818182,4.206153846,16.25,10.28584211,14.76,53.38285714,lager
43.97787611,0.271177799,1.419090909,3.849230769,16.73,9.530947368,12.48,53.57428571,lager
37.96017699,0.228401767,1.559090909,3.950769231,17.96,5.386315789,10.68,71.69857143,stout
37.34070796,0.221810849,1.638181818,3.855384615,20.51,5.596842105,9.84,73.13714286,stout
38.13716814,0.233793401,4.762727273,4.147692308,16.67,6.252105263,6.84,73.39428571,stout
41.45575221,0.260993144,1.3527272730000002,3.978461538,17.81,3.865789474,9.24,74.15714286,stout
44.02212389,0.172410662,2.191818182,4.033846154,16.9,7.546947368,7.32,74.67857143,stout
39.95132743,0.272586785,5.217272727,4.412307692,16.68,6.008368421,6.84,74.75714286,stout
40.03982301,0.347918901,2.859090909,4.1784615380000005,17.58,7.340842105,8.88,74.88714286,stout
43.97787611,0.266770262,3.775454545,4.347692308,19.1,7.356,7.32,75.89428571,stout
45.34955752,0.255529552,1.301818182,4.16,18.17,3.243578947,10.68,76.18285714,stout
41.19026549,0.283402606,2.620909091,4.123076923,19.6,7.554947368,8.04,79.13428571,stout
